run	index name	bool fields count	document count	base	percentage of true	disk space	query type	thread count	min terms	max terms	duration	queries run	queries with results	total results lower bound	error count	queries per second	percentage of queries that had results	average results per query	average query duration	<1	<2	<5	<10	<20	<50	<100	<200	<500	<1,000	<2,000	<5,000	<10,000	<20,000	>=20,000
56	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL2	20	1	5	60,227	6,425	6,425	16,256,627	0	107	100.00	2,530.21	187							.08	78.46	21.46						
57	test02	60	1,000,000	1.29	6.517	82,238,956	ALL	100	1	5	60,030	691,535	236,687	615,432,636	0	11,520	34.23	889.95	9	.00	.01	.05	74.42	24.19	1.33	.00								
58	test02	60	1,000,000	1.29	6.517	82,238,956	SOME	100	1	5	60,089	77,805	77,805	546,095,379	0	1,295	100.00	7,018.77	77	.00	.01	.01	.02	.02	.96	90.23	8.74							
59	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL	100	1	5	61,316	4,593	4,593	11,514,366	0	75	100.00	2,506.94	1,320							.12	.22	.54	.85	98.39				
60	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL2	100	1	5	60,877	6,534	6,534	16,334,711	0	107	100.00	2,499.96	925							.12	.12	.51	90.10	9.15				
61	test02	60	1,000,000	1.29	6.517	82,238,956	ALL	100	1	1	60,032	300,544	300,544	1,108,904,894	0	5,006	100.00	3,689.66	20	.00	.01	.01	.18	54.04	45.72	.05								
62	test02	60	1,000,000	1.29	6.517	82,238,956	SOME	100	1	1	60,034	301,562	301,562	1,111,387,003	0	5,023	100.00	3,685.44	20	.00	.00	.01	.10	54.55	45.31	.03								
63	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL	100	1	1	61,381	4,425	4,425	8,437,421	0	72	100.00	1,906.76	1,372								.23	.47	.88	98.42				
64	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL2	100	1	1	60,843	7,304	7,304	13,739,590	0	120	100.00	1,881.11	827							.11	.14	.56	97.81	1.38				
65	test02	60	1,000,000	1.29	6.517	82,238,956	ALL	100	2	2	60,022	743,583	384,849	508,947,269	0	12,389	51.76	684.45	8	.00	.00	.12	82.78	16.36	.74									
66	test02	60	1,000,000	1.29	6.517	82,238,956	SOME	100	2	2	60,067	126,680	126,680	770,728,791	0	2,109	100.00	6,084.06	47	.00	.00	.01	.01	.03	64.80	35.10	.05							
67	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL	100	2	2	61,343	4,506	4,506	9,860,854	0	73	100.00	2,188.38	1,347							.02	.20	.49	.78	98.51				
68	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL2	100	2	2	60,982	6,902	6,902	15,097,283	0	113	100.00	2,187.38	876							.10	.17	.48	96.29	2.96				
69	test02	60	1,000,000	1.29	6.517	82,238,956	ALL	100	3	3	60,017	1,082,819	169,305	88,111,719	0	18,042	15.64	81.37	6	.00	.01	14.55	84.12	1.20	.12									
70	test02	60	1,000,000	1.29	6.517	82,238,956	SOME	100	3	3	60,089	76,756	76,756	582,976,715	0	1,277	100.00	7,595.19	78		.03	.01	.01	.02	.84	90.39	8.73							
71	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL	100	3	3	61,358	4,585	4,585	11,425,470	0	75	100.00	2,491.92	1,323								.22	.46	.85	98.47				
72	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL2	100	3	3	60,911	6,559	6,559	16,222,765	0	108	100.00	2,473.36	922							.09	.21	.56	88.61	10.52				
73	test02	60	1,000,000	1.29	6.517	82,238,956	ALL	100	4	4	60,005	1,284,847	43,204	8,436,389	0	21,412	3.36	6.57	5	.00	.01	52.77	46.95	.26	.01									
74	test02	60	1,000,000	1.29	6.517	82,238,956	SOME	100	4	4	60,104	56,515	56,515	484,853,457	0	940	100.00	8,579.20	106	.00	.01	.01	.01	.01	.07	36.89	63.01							
75	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL	100	4	4	61,284	4,684	4,684	13,181,330	0	76	100.00	2,814.12	1,294								.21	.49	.85	98.44				
76	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL2	100	4	4	61,053	6,191	6,191	17,503,280	0	101	100.00	2,827.21	976							.08	.11	.55	65.72	33.53				
77	test02	60	1,000,000	1.29	6.517	82,238,956	ALL	100	6	6	60,006	1,218,517	730	7,945	0	20,307	.06	.01	5	.00	.00	33.74	66.15	.11	.00									
78	test02	60	1,000,000	1.29	6.517	82,238,956	SOME	100	6	6	60,183	39,027	39,027	371,312,993	0	648	100.00	9,514.26	154		.00	.00	.00	.02	.05	.14	98.79	1.00						
79	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL	100	6	6	61,242	4,888	4,888	17,071,921	0	80	100.00	3,492.62	1,240							.02	.18	.47	.90	98.42				
80	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL2	100	6	6	61,212	5,590	5,590	19,723,988	0	91	100.00	3,528.44	1,083							.11	.18	.48	7.62	91.61				
81	test02	60	1,000,000	1.29	6.517	82,238,956	ALL	100	10	10	60,007	966,352	0	0	0	16,104	.00	.00	6	.00	.00	.01	98.82	1.16										
82	test02	60	1,000,000	1.29	6.517	82,238,956	SOME	100	10	10	60,257	25,067	25,067	249,513,315	0	416	100.00	9,953.86	240			.01	.00	.01	.06	.08	2.03	97.81						
83	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL	100	10	10	61,136	5,343	5,343	25,817,858	0	87	100.00	4,832.09	1,133							.04	.17	.52	.84	98.43				
84	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL2	100	10	10	61,306	4,877	4,877	23,362,846	0	80	100.00	4,790.41	1,244							.12	.18	.45	.70	98.54				
85	test02	60	1,000,000	1.29	6.517	82,238,956	ALL	100	15	15	60,009	737,325	0	0	0	12,287	.00	.00	8	.00	.00	.01	94.34	5.54	.09	.01								
86	test02	60	1,000,000	1.29	6.517	82,238,956	SOME	100	15	15	60,374	18,182	18,182	181,784,777	0	301	100.00	9,998.06	331					.01	.04	.10	.18	99.68						
87	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL	100	15	15	61,007	5,988	5,988	37,549,915	0	98	100.00	6,270.86	1,010							.08	.18	.48	27.94	71.31				
88	test02	60	1,000,000	1.29	6.517	82,238,956	NEGATE_ALL2	100	15	15	61,607	4,306	4,306	26,900,830	0	70	100.00	6,247.29	1,410							.09	.16	.49	.84	98.42				
89	test03	100	50,000,000	1.05	18.3	11,409,167,710	ALL	1	1	5	60,170	428	403	2,420,516	0	7	94.16	5,655.41	141	.23	2.34	2.57	1.40	3.50	15.42	25.93	31.07	13.32	3.74	.47				
90	test03	100	50,000,000	1.05	18.3	11,409,167,710	SOME	1	1	5	61,680	77	77	770,000	0	1	100.00	10,000.00	801			1.30	1.30	1.30	6.49	5.19	10.39	9.09	29.87	32.47	2.60			
91	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL	1	1	5	30,029	0	0	0	1	0	NaN	NaN	NaN															
92	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL2	1	1	5	60,232	218	0	0	0	4	.00	.00	276									99.54	.46	21.43	7.14			
93	test03	100	50,000,000	1.05	18.3	11,409,167,710	ALL	10	1	5	60,194	3,062	2,879	17,975,132	0	51	94.02	5,870.39	196	.62	2.68	1.93	3.00	3.30	10.29	14.30	26.75	29.85	6.92	.36				
94	test03	100	50,000,000	1.05	18.3	11,409,167,710	SOME	10	1	5	61,217	680	680	6,750,070	0	11	100.00	9,926.57	888		.74	.29	.44	1.18	5.59	5.29	7.35	16.47	23.24	31.62	7.79			
95	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL	10	1	5	30,028	0	0	0	10	0	NaN	NaN	NaN															
96	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL2	10	1	5	60,234	1,359	0	0	3	23	.00	.00	310									98.60	1.40	1.99	1.00			
97	test03	100	50,000,000	1.05	18.3	11,409,167,710	ALL	20	1	5	60,788	3,327	3,139	19,982,532	0	55	94.35	6,006.17	362		.65			.06	.03	.57	15.39	67.21	14.91	1.83				
98	test03	100	50,000,000	1.05	18.3	11,409,167,710	SOME	20	1	5	62,890	697	697	6,950,028	0	11	100.00	9,971.35	1,739						.14	.72	1.45	1.15	15.06	49.35	34.29			
99	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL	20	1	5	60,064	0	0	0	20	0	NaN	NaN	NaN															
100	test03	100	50,000,000	1.05	18.3	11,409,167,710	NEGATE_ALL2	20	1	5	60,350	1,579	1	1	8	26	.06	.00	457									72.77	26.98	.25				
